Descricao,Quantidade,TotalVenda
LIV  COLOR E ATIV LA FAD,2.0,27.0
LIV  COMO E BOM COL DINO,9.0,80.0
LIV 365 ATIV DESEN HOT W,2.0,34.0
LIV 365 ATIV DINOSSAURO,2.0,30.0
LIV ARTETERAPIA P COL RE,1.0,7.5
LIV CHAPEUZINHO VM,3.0,13.5
LIV COLOR AVENT C SEREIA,2.0,35.0
LIV COLOR COMFY DAYS 014,2.0,40.0
LIV COLOR COZY AND CUTE3,1.0,20.0
LIV COLOR CUTE WORLD 482,1.0,20.0
LIV COLOR MANDALAS 0923,5.0,42.5
LIV COLOR MANDALAS SONHA,2.0,15.0
LIV COLORIR MANDALAS ACA,2.0,14.0
LIV DES PARA COL FEM DIS,1.0,20.0
LIV HISTORIA ENCANTADAS9,1.0,19.0
LIV IDENTIFICANDO AS VOG,5.0,20.0
LIV INF HIST BIBLICAS A,2.0,13.0
LIV JOAO E MARIA,2.0,9.0
LIV LER E COL DINOSSAURO,2.0,11.0
LIV LER E COLORIR T MONI,1.0,5.0
LIV MANDALASCOLORIR INSP,6.0,43.5
LIV PAS. TEMPO MENINAS C,2.0,12.0
LIV POP COLOR AQUA ANIM,1.0,7.0
LIV PRIM BINGO E ROLLY,5.0,32.5
LIV PRIM HIST CARROS,2.0,14.0
LIV PRINCESAS,1.0,13.5
LIV T MONIC VAMOS APREN,3.0,9.0
LIV TRIN A ESC LET MAIUS,9.0,45.0
LIV TURMA DA MONICA 7515,4.0,18.0
TOTALIZACAO,9531.0,39058.7
LIVRO 333 ATIVIDADES P M,3.0,50.5
LIVRO 333 ATIVIDADES P M,2.0,34.0
LIVRO 365 CANINA 9353,2.0,30.0
LIVRO 365 DESENHOS DE CO,6.0,99.0
LIVRO 365 DINOSAUROS,3.0,49.5
LIVRO APREDER CALIGRAFIA,10.0,50.0
LIVRO APRENDENDO EM CASA,10.0,20.0
LIVRO APRENDER CALIGRAFI,21.0,94.5
LIVRO APRENDER E INCRIVE,2.0,12.0
LIVRO APRENDER E INCRIVE,1.0,6.0
LIVRO ATA 200F TILIBRA,1.0,38.7
LIVRO BARBIE BAILARINA,3.0,7.5
LIVRO BRINCANDO COM AQUA,1.0,13.0
LIVRO CALIGRAFIA INCRIVE,5.0,30.0
LIVRO DE CALIGRAFIA SORT,13.0,45.5
LIVRO FESTA DAS CORES,20.0,40.0
LIVRO INFAN HIST BIBLI M,1.0,6.5
LIVRO INFAN HIST BIBLI N,2.0,13.0
LIVRO KIT DE PINT DO ART,7.0,108.0
LIVRO PRIM HIST ARISTO,1.0,6.5
LIVRO PRIM HIST VINGADOR,2.0,13.0
LIVRO PROTOCOLO 100F SD,4.0,74.0
LIVRO TREINA CALIGRA SPI,1.0,6.0
LIVRO UM TOQUE DE COR UN,7.0,35.0
LIVROS VIDA NA FAZENDA A,5.0,10.0
MAPA DO MUNDO,2.0,26.0
MAPA DO RN,1.0,15.0
MARC PILOT QUAD BCO C RE,5.0,86.0
MARC RET PROJ PIL 1.0P,3.0,28.5
MARCA TEXTO APAGAVEL,6.0,36.0
MARCA TEXTO BAZZE LARANJ,4.0,10.0
MARCA TEXTO BRW AZUL,18.0,45.0
MARCA TEXTO BRW GEL ROSA,11.0,49.5
MARCA TEXTO BRW GEL VERD,11.0,49.5
MARCA TEXTO BRW LARANJA,5.0,12.5
MARCA TEXTO BRW ROSA,22.0,55.0
MARCA TEXTO BRW VERDE,19.0,47.5
MARCA TEXTO BRW VERDE LI,55.0,137.5
MARCA TEXTO BRW VERMELHO,10.0,25.0
MARCA TEXTO CIS  LUMINE,4.0,14.0
MARCA TEXTO CIS VERDE,3.0,10.5
MARCA TEXTO GEL BRW AM,18.0,81.0
MARCA TEXTO JOCAR AMAREL,9.0,22.5
MARCADOR CD RETO PROJETO,7.0,31.5
TOTALIZACAO,9905.0,41148.4
MARCADOR PERMANENTE PILO,15.0,101.9
MARCADOR PERMANENTE RADE,1.0,7.5
MARCADOR PERMANENTE RADE,1.0,7.5
MARCADOR PONTA DUPLA AZ,28.0,126.0
MARCADOR QUADRO BRANCO B,21.0,150.5
MARCADOR RETRO P.PILOT 1,3.0,28.5
MARCADOR RETRO PROGETOR,2.0,19.0
MARCADOR RETRO PROJETOR,84.0,517.2
MARCADOR RETRO PROJETOR,13.0,80.4
MASSA DE MODELAR C12 180,6.0,54.0
MASSA DE MODELAR KOALA G,71.0,504.0
MASSA DE MODELAR KOALA P,31.0,120.9
MASSA DE MODELAR SUPER S,2.0,19.6
MASSA MOD ACRILEX SOFT 1,1.0,10.0
MASSA MODELAR DIVER CORE,25.0,112.5
MATELA NEW LINE CRISTAL,1.0,29.5
MEU PRIMEIRO LIVRO DE PA,17.0,51.0
MINA GRAFITE LEOLEO 07MM,64.0,210.5
MINA GRAPHITE TRIS 2.0,82.0,242.0
MOCHILA SEANIT M141423,1.0,72.0
MOCHILA WINCY BPD33063,2.0,106.0
MOCHILA WINCY BPG21834,4.0,136.0
MOLHA DEDO WALEU,2.0,10.4
MOVIMENTO DE CAIXA OF SD,20.0,415.8
MOVOMENTO DE CAIXA PEQ A,16.0,144.0
NOTA NEUTRA 50FLS SIDGRA,10.0,25.0
NOTA NEUTRA S COPIA 1X18,20.0,90.0
NOTA PROMISSORIA PED ANI,20.0,50.0
NOTA PROMISSORIA PEQ CAR,10.0,25.0
NOTA PROMISSORIA SIDGRAP,4.0,12.0
NOTE FIX 4CORES 38X50MM,22.0,215.6
NOTEFIX 76X10 AMARELO,3.0,25.6
NOTEFIX 76X10 AZUL,1.0,8.8
NOTEFIX 76X10 ROSA,5.0,44.1
P RETRATO 10X15 15812,5.0,45.0
PAPEL,60.0,45.0
PAPEL CANSON,7.0,6.3
PAPEL CANSON 300GM,6.0,21.0
PAPEL CELOFONE CORES,151.0,226.5
PAPEL CONTATO 45X1M TRAN,95.0,439.5
TOTALIZACAO,10923.0,46026.0
PAPEL COUCHE BRANCO 180G,15.0,10.5
PAPEL CREATIVE PAPER 210,1.0,12.5
PAPEL CREPOM,274.0,558.0
